pattern;replacement
"(\w*)](\w*)";"\1l\2"
"(\w*)\$";"\1s"
"(\w*)\/(\w*)";"\1l\2"
"(\w*)1(\w*)";"\1l\2"
"(\w*)0(\w*)";"\1o\2"
"(\w*)\|(\w*)";"\1i\2"
"(\w*)\[(\w*)";"\1l\2"
"(\w*)\!(\w*)";"\1i\2"
"(\w*)I(\w*)";"\1l\2"
"(\w*)l(\w*)";"\1I\2"
"(\w*)J(\w*)";"\1l\2"
"(\w*)o(\w*)";"\1O\2"
"(\w*)O(\w*)";"\1o\2"
"(\w*)B(\w*)";"\1E\2"
"(\w*)E(\w*)";"\1B\2"
"(\w*)S(\w*)";"\1S\2"
"(\w*)s(\w*)";"\1s\2"
"(\w*)2(\w*)";"\1Z\2"
"(\w*)5(\w*)";"\1S\2"
"(\w*)S(\w*)";"\1S\2"
"(\w*)6(\w*)";"\1G\2"
"(\w*)G(\w*)";"\1G\2"
"(\w*)8(\w*)";"\1B\2"
"(\w*)B(\w*)";"\1B\2"
